Word,CEFR_Level,Frequency,Years_Count,Years_Appeared,Source
familiar,Unclassified,2,1,2026,2026.txt
familiarise,Unclassified,2,1,2026,2026.txt
family,Unclassified,2,1,2026,2026.txt
famous,Unclassified,2,1,2026,2026.txt
film,Unclassified,2,1,2026,2026.txt
final,Unclassified,2,1,2026,2026.txt
Finally,Unclassified,2,1,2026,2026.txt
food,Unclassified,2,1,2026,2026.txt
forum,Unclassified,2,1,2026,2026.txt
Francisco,Unclassified,2,1,2026,2026.txt
frequency,Unclassified,2,1,2026,2026.txt
Friday,Unclassified,2,1,2026,2026.txt
future,Unclassified,2,1,2026,2026.txt
futureai,Unclassified,2,1,2026,2026.txt
game,Unclassified,2,1,2026,2026.txt
generally,Unclassified,2,1,2026,2026.txt
giving,Unclassified,2,1,2026,2026.txt
grass,Unclassified,2,1,2026,2026.txt
guides,Unclassified,2,1,2026,2026.txt
gummy,Unclassified,2,1,2026,2026.txt
hall,Unclassified,2,1,2026,2026.txt
hard,Unclassified,2,1,2026,2026.txt
havent,Unclassified,2,1,2026,2026.txt
heard,Unclassified,2,1,2026,2026.txt
homeless,Unclassified,2,1,2026,2026.txt
However,Unclassified,2,1,2026,2026.txt
iced,Unclassified,2,1,2026,2026.txt
ideas,Unclassified,2,1,2026,2026.txt
ignore,Unclassified,2,1,2026,2026.txt
incorporate,Unclassified,2,1,2026,2026.txt
inevitably,Unclassified,2,1,2026,2026.txt
infestation,Unclassified,2,1,2026,2026.txt
information,Unclassified,2,1,2026,2026.txt
innocent,Unclassified,2,1,2026,2026.txt
interested,Unclassified,2,1,2026,2026.txt
Italian,Unclassified,2,1,2026,2026.txt
January,Unclassified,2,1,2026,2026.txt
jelly,Unclassified,2,1,2026,2026.txt
job,Unclassified,2,1,2026,2026.txt
Katie,Unclassified,2,1,2026,2026.txt
keeping,Unclassified,2,1,2026,2026.txt
keyword,Unclassified,2,1,2026,2026.txt
knew,Unclassified,2,1,2026,2026.txt
languages,Unclassified,2,1,2026,2026.txt
learnt,Unclassified,2,1,2026,2026.txt
leaving,Unclassified,2,1,2026,2026.txt
lecturers,Unclassified,2,1,2026,2026.txt
level,Unclassified,2,1,2026,2026.txt
levels,Unclassified,2,1,2026,2026.txt
librarian,Unclassified,2,1,2026,2026.txt
libraryboss,Unclassified,2,1,2026,2026.txt
listen,Unclassified,2,1,2026,2026.txt
listening,Unclassified,2,1,2026,2026.txt
Listening,Unclassified,2,1,2026,2026.txt
lives,Unclassified,2,1,2026,2026.txt
lot,Unclassified,2,1,2026,2026.txt
lovely,Unclassified,2,1,2026,2026.txt
makes,Unclassified,2,1,2026,2026.txt
mcdonalds,Unclassified,2,1,2026,2026.txt
means,Unclassified,2,1,2026,2026.txt
move,Unclassified,2,1,2026,2026.txt
needs,Unclassified,2,1,2026,2026.txt
News,Unclassified,2,1,2026,2026.txt
niche,Unclassified,2,1,2026,2026.txt
notes,Unclassified,2,1,2026,2026.txt
notetaking,Unclassified,2,1,2026,2026.txt
nowadays,Unclassified,2,1,2026,2026.txt
number,Unclassified,2,1,2026,2026.txt
okay,Unclassified,2,1,2026,2026.txt
Okay,Unclassified,2,1,2026,2026.txt
open,Unclassified,2,1,2026,2026.txt
option,Unclassified,2,1,2026,2026.txt
options,Unclassified,2,1,2026,2026.txt
order,Unclassified,2,1,2026,2026.txt
others,Unclassified,2,1,2026,2026.txt
page,Unclassified,2,1,2026,2026.txt
participants,Unclassified,2,1,2026,2026.txt
pearl,Unclassified,2,1,2026,2026.txt
perhaps,Unclassified,2,1,2026,2026.txt
plastic,Unclassified,2,1,2026,2026.txt
platform,Unclassified,2,1,2026,2026.txt
point,Unclassified,2,1,2026,2026.txt
positive,Unclassified,2,1,2026,2026.txt
posting,Unclassified,2,1,2026,2026.txt
potential,Unclassified,2,1,2026,2026.txt
potentially,Unclassified,2,1,2026,2026.txt
prejudice,Unclassified,2,1,2026,2026.txt
premium,Unclassified,2,1,2026,2026.txt
pretty,Unclassified,2,1,2026,2026.txt
probably,Unclassified,2,1,2026,2026.txt
problem,Unclassified,2,1,2026,2026.txt
product,Unclassified,2,1,2026,2026.txt
progress,Unclassified,2,1,2026,2026.txt
provide,Unclassified,2,1,2026,2026.txt
pushing,Unclassified,2,1,2026,2026.txt
put,Unclassified,2,1,2026,2026.txt
question,Unclassified,2,1,2026,2026.txt
questions,Unclassified,2,1,2026,2026.txt
quite,Unclassified,2,1,2026,2026.txt
rather,Unclassified,2,1,2026,2026.txt
read,Unclassified,2,1,2026,2026.txt
realise,Unclassified,2,1,2026,2026.txt
reality,Unclassified,2,1,2026,2026.txt
regardless,Unclassified,2,1,2026,2026.txt
registered,Unclassified,2,1,2026,2026.txt
relevant,Unclassified,2,1,2026,2026.txt
Report,Unclassified,2,1,2026,2026.txt
rest,Unclassified,2,1,2026,2026.txt
Right,Unclassified,2,1,2026,2026.txt
rival,Unclassified,2,1,2026,2026.txt
San,Unclassified,2,1,2026,2026.txt
saw,Unclassified,2,1,2026,2026.txt
scaling,Unclassified,2,1,2026,2026.txt
scene,Unclassified,2,1,2026,2026.txt
seats,Unclassified,2,1,2026,2026.txt
section,Unclassified,2,1,2026,2026.txt
seldom,Unclassified,2,1,2026,2026.txt
sense,Unclassified,2,1,2026,2026.txt
sensory,Unclassified,2,1,2026,2026.txt
sheet,Unclassified,2,1,2026,2026.txt
show,Unclassified,2,1,2026,2026.txt
shows,Unclassified,2,1,2026,2026.txt
simply,Unclassified,2,1,2026,2026.txt
since,Unclassified,2,1,2026,2026.txt
single,Unclassified,2,1,2026,2026.txt
small,Unclassified,2,1,2026,2026.txt
someone,Unclassified,2,1,2026,2026.txt
sometimes,Unclassified,2,1,2026,2026.txt
soon,Unclassified,2,1,2026,2026.txt
speed,Unclassified,2,1,2026,2026.txt
spend,Unclassified,2,1,2026,2026.txt
student,Unclassified,2,1,2026,2026.txt
studying,Unclassified,2,1,2026,2026.txt
submit,Unclassified,2,1,2026,2026.txt
successful,Unclassified,2,1,2026,2026.txt
sun,Unclassified,2,1,2026,2026.txt
sure,Unclassified,2,1,2026,2026.txt
Survey,Unclassified,2,1,2026,2026.txt
sweet,Unclassified,2,1,2026,2026.txt
telephone,Unclassified,2,1,2026,2026.txt
terms,Unclassified,2,1,2026,2026.txt
Thats,Unclassified,2,1,2026,2026.txt
themselves,Unclassified,2,1,2026,2026.txt
therefore,Unclassified,2,1,2026,2026.txt
Theres,Unclassified,2,1,2026,2026.txt
theyll,Unclassified,2,1,2026,2026.txt
thinking,Unclassified,2,1,2026,2026.txt
thought,Unclassified,2,1,2026,2026.txt
ties,Unclassified,2,1,2026,2026.txt
times,Unclassified,2,1,2026,2026.txt
tips,Unclassified,2,1,2026,2026.txt
took,Unclassified,2,1,2026,2026.txt
tool,Unclassified,2,1,2026,2026.txt
tourist,Unclassified,2,1,2026,2026.txt
towards,Unclassified,2,1,2026,2026.txt
Transcript,Unclassified,2,1,2026,2026.txt
transformed,Unclassified,2,1,2026,2026.txt
traveler,Unclassified,2,1,2026,2026.txt
truly,Unclassified,2,1,2026,2026.txt
Ultimately,Unclassified,2,1,2026,2026.txt
under,Unclassified,2,1,2026,2026.txt
understand,Unclassified,2,1,2026,2026.txt
Unsure,Unclassified,2,1,2026,2026.txt
update,Unclassified,2,1,2026,2026.txt
used,Unclassified,2,1,2026,2026.txt
Users,Unclassified,2,1,2026,2026.txt
using,Unclassified,2,1,2026,2026.txt
values,Unclassified,2,1,2026,2026.txt
variety,Unclassified,2,1,2026,2026.txt
virtual,Unclassified,2,1,2026,2026.txt
waiting,Unclassified,2,1,2026,2026.txt
wants,Unclassified,2,1,2026,2026.txt
went,Unclassified,2,1,2026,2026.txt
werent,Unclassified,2,1,2026,2026.txt
weve,Unclassified,2,1,2026,2026.txt
Whats,Unclassified,2,1,2026,2026.txt
whatsapp,Unclassified,2,1,2026,2026.txt
whether,Unclassified,2,1,2026,2026.txt
winning,Unclassified,2,1,2026,2026.txt
wisdom,Unclassified,2,1,2026,2026.txt
wont,Unclassified,2,1,2026,2026.txt
works,Unclassified,2,1,2026,2026.txt
worlds,Unclassified,2,1,2026,2026.txt
worry,Unclassified,2,1,2026,2026.txt
written,Unclassified,2,1,2026,2026.txt
yes,Unclassified,2,1,2026,2026.txt
yet,Unclassified,2,1,2026,2026.txt
Yet,Unclassified,2,1,2026,2026.txt
Youll,Unclassified,2,1,2026,2026.txt
Zingales,Unclassified,2,1,2026,2026.txt
Aaah,Unclassified,1,1,2026,2026.txt
absolute,Unclassified,1,1,2026,2026.txt
absolutely,Unclassified,1,1,2026,2026.txt
accept,Unclassified,1,1,2026,2026.txt
access,Unclassified,1,1,2026,2026.txt
accuracy,Unclassified,1,1,2026,2026.txt
accurate,Unclassified,1,1,2026,2026.txt
achieve,Unclassified,1,1,2026,2026.txt
achieving,Unclassified,1,1,2026,2026.txt
across,Unclassified,1,1,2026,2026.txt
activity,Unclassified,1,1,2026,2026.txt
Actually,Unclassified,1,1,2026,2026.txt
actually,Unclassified,1,1,2026,2026.txt
add,Unclassified,1,1,2026,2026.txt
addictive,Unclassified,1,1,2026,2026.txt
address,Unclassified,1,1,2026,2026.txt
adds,Unclassified,1,1,2026,2026.txt
adrenaline,Unclassified,1,1,2026,2026.txt
adult,Unclassified,1,1,2026,2026.txt
adventure,Unclassified,1,1,2026,2026.txt
advertising,Unclassified,1,1,2026,2026.txt
advise,Unclassified,1,1,2026,2026.txt
affected,Unclassified,1,1,2026,2026.txt
Africa,Unclassified,1,1,2026,2026.txt
afternoon,Unclassified,1,1,2026,2026.txt
afterwards,Unclassified,1,1,2026,2026.txt
ahead,Unclassified,1,1,2026,2026.txt
Ainu,Unclassified,1,1,2026,2026.txt
Alexandria,Unclassified,1,1,2026,2026.txt
allegiances,Unclassified,1,1,2026,2026.txt
allocated,Unclassified,1,1,2026,2026.txt
allround,Unclassified,1,1,2026,2026.txt
almost,Unclassified,1,1,2026,2026.txt
along,Unclassified,1,1,2026,2026.txt
Americans,Unclassified,1,1,2026,2026.txt
Among,Unclassified,1,1,2026,2026.txt
Andrew,Unclassified,1,1,2026,2026.txt
angle,Unclassified,1,1,2026,2026.txt
answer,Unclassified,1,1,2026,2026.txt
anyone,Unclassified,1,1,2026,2026.txt
Anyone,Unclassified,1,1,2026,2026.txt
apparently,Unclassified,1,1,2026,2026.txt
appearing,Unclassified,1,1,2026,2026.txt
apply,Unclassified,1,1,2026,2026.txt
appointed,Unclassified,1,1,2026,2026.txt
appreciate,Unclassified,1,1,2026,2026.txt
appreciative,Unclassified,1,1,2026,2026.txt
approach,Unclassified,1,1,2026,2026.txt
appropri,Unclassified,1,1,2026,2026.txt
area,Unclassified,1,1,2026,2026.txt
argued,Unclassified,1,1,2026,2026.txt
arise,Unclassified,1,1,2026,2026.txt
arrive,Unclassified,1,1,2026,2026.txt
arrived,Unclassified,1,1,2026,2026.txt
Asia,Unclassified,1,1,2026,2026.txt
asleep,Unclassified,1,1,2026,2026.txt
assumptions,Unclassified,1,1,2026,2026.txt
athlete,Unclassified,1,1,2026,2026.txt
attained,Unclassified,1,1,2026,2026.txt
attended,Unclassified,1,1,2026,2026.txt
attendees,Unclassified,1,1,2026,2026.txt
attending,Unclassified,1,1,2026,2026.txt
august,Unclassified,1,1,2026,2026.txt
Australia,Unclassified,1,1,2026,2026.txt
author,Unclassified,1,1,2026,2026.txt
awake,Unclassified,1,1,2026,2026.txt
awareness,Unclassified,1,1,2026,2026.txt
awful,Unclassified,1,1,2026,2026.txt
awkward,Unclassified,1,1,2026,2026.txt
bachelorette,Unclassified,1,1,2026,2026.txt
badge,Unclassified,1,1,2026,2026.txt
bag,Unclassified,1,1,2026,2026.txt
Bali,Unclassified,1,1,2026,2026.txt
bars,Unclassified,1,1,2026,2026.txt
base,Unclassified,1,1,2026,2026.txt
based,Unclassified,1,1,2026,2026.txt
Bataar,Unclassified,1,1,2026,2026.txt
battle,Unclassified,1,1,2026,2026.txt
Bay,Unclassified,1,1,2026,2026.txt
Bear,Unclassified,1,1,2026,2026.txt
beauties,Unclassified,1,1,2026,2026.txt
becomes,Unclassified,1,1,2026,2026.txt
becoming,Unclassified,1,1,2026,2026.txt
